Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price
LYV,0.2761026910720307,0.3768012594466501,0.6498774750312686,79.8,181.36365,0.0,1.341562,115.15
LKQ,0.1470650070660767,0.3322704127419638,0.34862257555804144,57.48,17.107143,0.0187,1.374723,65.22
LMT,0.21845295006014104,0.2211015234166315,0.8467825421225387,459.08,16.45448,0.025899999,0.671333,456.35
L,0.06857620599476945,0.2515731075689476,0.14845849924675986,60.1,20.724136,0.0045,0.821665,0.0
LOW,0.22864419741836423,0.2839985672661196,0.6951308216957885,215.97,19.386894,0.0217,1.168017,240.6
LUMN,-0.11879820770486038,0.38653503823600743,-0.38813104339456644,5.26,3.329114,0.1435,1.073323,8.41
LYB,0.16716533653600002,0.35767502182772193,0.38005812048915144,98.15,7.953809,0.0577,1.260501,87.4
MTB,0.11253722082660444,0.30488636134652913,0.2666868418556443,159.02,13.487701,0.0291,0.838614,198.22
MRO,0.12906755432700964,0.5237205114615322,0.18681627354966837,26.03,72.30556,0.0106,2.414517,32.21
MPC,0.2251491083481364,0.40893926326086516,0.4742050611809143,118.2,41.041664,0.020499999,1.602063,126.07
MKTX,0.2776901187623163,0.3136224064615666,0.7858560921994572,345.9,37.679737,0.0117,0.647752,274.55
MAR,0.20684495039805548,0.32009691633706394,0.5486366829566394,174.43,37.837307,0.0077,1.568165,171.42
MMC,0.19270680182806393,0.19885674555629415,0.8120356258576668,171.88,28.17705,0.0153,0.888725,173.93
MLM,0.18953735662909818,0.3198385575883078,0.49496632872710783,360.63,27.6769,0.008,0.86588,401.57
MAS,0.1788315349913551,0.2930273229666803,0.5037192214798994,55.39,13.987373,0.024600001,1.209285,54.12
MA,0.23985908133518816,0.2741238511341816,0.7610831398936716,373.91,35.815136,0.0061000003,1.0,402.69
MTCH,0.24757793095624478,0.4460850367283351,0.48499696952122073,48.45,17.180851,0.0,1.315274,74.95
MKC,0.12705916108931217,0.21550934720378004,0.44467268978573327,74.54,23.588608,0.0191,0.571112,80.72
MCD,0.14892258647908188,0.1994959717415732,0.5899595137555128,264.23,27.610243,0.023699999,1.0,283.0
MCK,0.17390297008014752,0.28013881559482173,0.5093008256744589,362.58,19.235012,0.0056,0.61938,386.85
MDT,0.10661807806409036,0.22642227129508097,0.3329621138355236,87.1,15.227273,0.0319,0.768238,105.47
MRK,0.14783439657576036,0.2121512506870414,0.5496378466018776,102.94,14.198621,0.028199999,0.328297,104.59
META,0.2615775119508807,0.3871693010703419,0.5949579972374679,186.53,0.0,0.0,1.318717,163.79
MET,0.1489602115148306,0.3008064801933643,0.3913884150531273,69.79,9.97,0.028199999,1.014369,77.44
MTD,0.23443777620809705,0.26276818871829705,0.7733422268694405,1591.65,48.290356,0.0,1.142225,1330.73
MGM,0.22380584807527268,0.4480140253448956,0.4298477216930436,41.71,245.35294,0.00029999999,2.051952,50.46
MCHP,0.26282246302730355,0.3543287673593336,0.6536145082405858,85.34,11.378666,0.019199999,1.558585,82.88
MU,0.3106350474795306,0.45586026260195694,0.612922490524822,62.41,5.8327103,0.0083,1.276344,65.92
MSFT,0.2800890240002785,0.2719859706440315,0.9149772814265549,258.35,30.940119,0.0109,0.960206,307.58
MAA,0.15921397289838532,0.23467237333592866,0.5453813377552383,173.05,68.12992,0.0325,1.0,191.17
MRNA,0.8486226391795202,0.7947872278085764,1.0284445579718713,173.25,10.449337,0.0,1.693601,207.29
MHK,0.09272366351611133,0.3784651390279288,0.1624868902848499,125.26,8.626721,0.0,1.29882,119.77
MOH,0.30425151621292024,0.3733132031611841,0.7313523173215979,301.07,18.561653,0.0,1.0,366.69
TAP,0.07903571096759279,0.28338688552138025,0.16870107057140482,53.62,12.858513,0.0304,0.862196,54.0
MDLZ,0.12547779703077333,0.21492200744286702,0.43853004239962745,65.91,21.125002,0.0255,0.64333,70.5
MPWR,0.38380682387556797,0.3941270962749742,0.8945814363276899,456.3,66.41921,0.009,1.168386,527.67
MNST,0.22669150565544768,0.3007609706742233,0.6498963785860665,101.8,33.486843,0.0,0.903831,100.58
MCO,0.24180357553150303,0.2763669702652737,0.7619417593033644,324.36,26.917841,0.0107,1.235814,281.44
MS,0.21900251704564513,0.3117592832071992,0.6023059686296751,99.43,14.347764,0.038399998,1.33235,0.0
MOS,0.09059497055066157,0.43117192803457105,0.1376873740993216,0.0,21.193275,0.0112,1.566322,65.31
MSI,0.1941887519206793,0.24748131070141435,0.6584768420070768,256.44,26.824266,0.013200001,0.915254,286.91
MSCI,0.330623430578545,0.2907499088905614,1.0297351140254285,567.43,52.882572,0.0112,1.0,492.91
NDAQ,0.25632952123269565,0.23771222722706872,0.9469495274361012,60.55,8.468532,0.013300001,0.939572,65.84
NTAP,0.13700878904931757,0.32866252913442745,0.321852172602895,67.62,14.993348,0.0296,1.195652,87.92
NFLX,0.36858906629101446,0.45541743447242256,0.7407731912758015,365.9,28.189524,0.0,1.221075,278.97
NWL,0.05401259635753774,0.365269462765003,0.06237739172287838,16.12,8.484211,0.0584,0.864038,20.05
NEM,0.09633418599293642,0.3697749248469119,0.17606966190487572,49.85,12.716836,0.0515,0.269712,65.51
NWSA,0.084589585196111,0.29935603335145083,0.17825445040963486,21.17,33.078125,0.0117999995,1.285924,23.2
NWS,0.08676118036654228,0.29742760531560075,0.18671145307234072,21.4,0.0,0.0116,1.285924,0.0
NEE,0.19890513454372988,0.22495836501873476,0.7453694577462179,74.67,27.452206,0.0225,0.493367,92.8
NKE,0.20886289473290803,0.2819228781998792,0.630083148529463,127.61,32.388325,0.013300001,1.109432,110.52
NI,0.149841867151069,0.23223271160172285,0.5107541755799283,27.31,19.507143,0.0373,0.449152,30.33
NDSN,0.17675607221221307,0.28285867719839036,0.5144902523739915,248.65,33.556004,0.0117,0.93294,268.43
NSC,0.18784226565584924,0.27622165080411276,0.5669875087839332,252.12,19.05669,0.0223,1.328297,241.84
NTRS,0.12300719155861838,0.2833933148474116,0.3238578567521804,98.17,13.374659,0.0365,1.11717,95.37
NOC,0.23684572662399916,0.23886465750826247,0.8608125152321746,440.64,17.28,0.012999999,0.586219,520.79
NCLH,0.11051084837284493,0.5682582409747985,0.13951897686974543,16.57,31.264153,0.0,2.330876,19.69
NRG,0.12300424305483476,0.3759958974967075,0.24408830966406653,34.43,5.9259896,0.0324,0.833087,44.4
