Symbol,total_return,avg_return,volatility,sharpe_ratio
BIIB,-0.17131997994901044,-0.0368867147782157,0.5129951331501523,-0.07190460960458869
BLK,0.53826373733678,0.08994895777919099,0.32504118494918316,0.27673095578104534
BK,-0.05673325613479753,-0.011613273076814923,0.3187978259192712,-0.03642833210461021
BA,-0.32662009590251856,-0.07604242512232051,0.5086144317568535,-0.14950898042679428
BKNG,0.12916656635208013,0.024593513499941544,0.3710136682555567,0.06628735166436339
BWA,-0.16534144970055656,-0.03550102745775097,0.3744604127512393,-0.09480582258860813
BXP,-0.39998168347555507,-0.09711403607592495,0.3373224136313737,-0.287896778131237
BSX,0.830300601305221,0.12850759031532766,0.3041616030256211,0.4224977414539165
BMY,0.33732186924687785,0.05985679698059165,0.24286225220021737,0.24646397881234045
AVGO,1.4177744487844963,0.1931173378426172,0.3726039092947252,0.5182912283667527
