Ticker,Average Return,Volatility,Sharpe Ratio
SEE,0.04093654419647555,0.3854712218113914,-0.010541528325849113
AMCR,0.041547213183921815,0.32048185576394655,-0.010773735716949171
GM,0.0409738058432878,0.3471773447753251,-0.011596938041327946
SBAC,0.03595303798957411,0.5973135214214085,-0.015146086077035579
ALK,0.03391386156040902,0.4576953720968322,-0.024221652905954096
NEM,0.03442404091129409,0.3953456914371454,-0.026751168199811635
TFC,0.03332716388942767,0.3536561852454583,-0.033006169826976704
HPQ,0.031687575456234435,0.3880265112372867,-0.034308028338879984
AEM,0.0276660538533314,0.4837061185307826,-0.0358356975084769
HST,0.02914982842543435,0.42405749267583487,-0.03737741190363096
DOW,0.028265443962944104,0.40855365475841177,-0.0409604854641466
A,0.026168322508542594,0.41812777552414043,-0.04503809264488856
