Symbol,Average Return,Average Volatility,Sharpe Ratio,Price,Forward PE,Dividend Yield,Beta,Target Price,low_risk,high_return
CHRW,0.09560031313725548,0.24930729392862389,0.2582045319598443,103.62000274658203,20.559525,0.0227,0.791451,107.63,0.11504475943058369,0.1883140141633846
PSA,0.12222100579546903,0.21795573864452877,0.417483688968762,308.4700012207031,39.046837,0.026800001,0.382461,364.0,0.3214987922549395,0.18797539449574258
FRT,0.07661608433341636,0.28477480116374093,0.15938223520373618,113.04000091552734,66.88757,0.045100003,1.143699,114.75,0.1384724167837071,0.1875444813875122
GILD,0.13037716741466232,0.2733162278610844,0.36276341217037433,84.5,12.7259035,0.042,0.333087,72.07,0.4613453941206272,0.18676594261411777
JNPR,0.09058494824664856,0.2846508716805339,0.20852529943778117,30.729999542236328,16.259258,0.027999999,0.873249,33.78,0.11264382799974884,0.1866231183348515
DLR,0.1281562284985628,0.2692316713418795,0.3600177795621983,115.20999908447266,70.680984,0.048800003,0.448784,129.47,0.4038837094548321,0.18378968555021086
PCG,0.09137240436123216,0.5868045345810583,0.1024947164219371,15.550000190734863,11.433824,0.0,1.0,16.71,0.0,0.18367710615986815
PG,0.10685404211893744,0.18338090531463846,0.4123984555258969,142.61000061035156,23.927853,0.0279,0.386514,146.29,0.393626983109976,0.18291657207327428
EQR,0.09173854973732944,0.24254284351709748,0.2494837978545596,64.7300033569336,61.647625,0.0402,0.83714,76.71,0.19798828533685295,0.18272427945307068
MMM,0.06543395806420982,0.22236599611306157,0.15382710786669954,117.48999786376953,11.094428,0.050300002,1.0,131.13,0.22620365918908333,0.18150946788642586
VTR,0.07019637867853806,0.35165754828264445,0.11081331504073812,52.599998474121094,111.914894,0.0465,1.200073,55.5,0.1101857276801098,0.1790552245846472
BEN,0.045678065088836164,0.3113049628727493,0.046417586668873724,33.27000045776367,10.143293,0.0498,1.257921,21.55,0.12717154016949364,0.17763211244187901
KO,0.09022765372826182,0.18141330436833777,0.3252220885312272,59.83000183105469,25.459576,0.0296,0.572218,66.77,0.2851419150663278,0.17523563493841704
PM,0.08650367984120133,0.22575669368872134,0.2448460727511224,102.58999633789062,15.427067,0.0574,0.688282,101.21,0.36940676492141744,0.17401348156596902
GIS,0.11067084770847922,0.20414429711420248,0.38915026693005045,75.4800033569336,20.345015,0.0276,0.308769,77.65,0.43786288944974505,0.17387279515834908
TAP,0.07794876989893373,0.2833514006553514,0.16488617948115145,53.619998931884766,12.858513,0.0304,0.862196,54.0,0.12443490373103952,0.17372511887418615
PPL,0.07254662554072927,0.22604104522718463,0.18279240172934894,28.65999984741211,10.938931,0.035,0.795873,28.84,0.19455256726273762,0.17070241531654817
DUK,0.09880591001091166,0.20108480322617284,0.33606651985860275,100.58000183105469,18.455048,0.0442,0.411569,104.82,0.5340726808107038,0.16861030228885998
ED,0.1060532122645708,0.20404703001232152,0.3667055201235354,92.93000030517578,20.559734,0.0366,0.309137,82.56,0.5802295188889349,0.1670091624712977
CLX,0.11444259074600864,0.22021040019999985,0.37788656065377285,154.77000427246094,20.021994,0.033,0.234708,129.49,0.6384813571845461,0.1662584225838753
CAG,0.09176541816707955,0.2517319856367041,0.24048345711699262,36.45000076293945,13.859315,0.0369,0.561532,36.53,0.26104384292477484,0.16456332814391028
VFC,0.0578502274098456,0.314939902502566,0.08453100799251338,30.6200008392334,10.240803,0.0709,0.973992,34.05,0.23113363887920862,0.16276023382256893
T,0.06465370413853398,0.21241620630162755,0.1573592934657268,19.829999923706055,6.2555203,0.0616,0.653647,20.15,0.4436595064233601,0.1611351717684473
BIIB,0.15043609984992723,0.43631276696822224,0.273216987630274,283.6300048828125,14.055005,0.0,0.16728,295.44,0.0,0.16081925384383008
WRK,0.037470092434019005,0.38326976396522283,0.016286315871099053,34.88999938964844,7.519397,0.0299,1.116433,42.54,0.06987695377140635,0.1602334868540099
KMB,0.09106069654817184,0.1983442310752922,0.30166068470738294,131.25999450683594,16.552332,0.038599998,0.386882,125.96,0.5030245538305372,0.1566335748047757
L,0.06880030319504168,0.2515241245336165,0.14937836786220599,60.099998474121094,20.724136,0.0045,0.821665,0.0,0.02177399303959611,0.15609290843191323
PNW,0.09385740167937624,0.22308001319761392,0.28074842200074934,75.87999725341797,14.8203125,0.052399997,0.377302,67.08,0.6225604011423206,0.15430357733261607
NWL,0.054364708556314575,0.3651985898584832,0.06335366347126471,16.1200008392334,8.484211,0.0584,0.864038,20.05,0.18507634415337693,0.1498300866488445
SJM,0.10059231441203595,0.22133998779426411,0.31338338412790706,149.97000122070312,17.397913,0.0276,0.218865,140.69,0.569734979015925,0.14635496572029677
VTRS,-0.013981713082472848,0.3765649697556541,-0.12005830788256382,12.180000305175781,3.2741935,0.049099997,1.13854,14.42,0.11452314222173489,0.1439352266273308
FOXA,0.051751492643824164,0.3660130559467564,0.05607300700379902,34.599998474121094,13.007518,0.0168,0.890279,38.87,0.05155687374412801,0.14149397120812085
CPB,0.08696664781753033,0.23509989054820551,0.23708478848424527,50.880001068115234,16.62745,0.0287,0.358511,48.12,0.34050773698901843,0.13877968420162265
BAX,0.06336073362996707,0.22880734778192216,0.14043558455278782,46.68000030517578,11.583126,0.0215,0.600957,65.2,0.15635979582478718,0.1371296798337592
WBA,0.053595735207989104,0.29056786516782496,0.07697924614213708,37.09000015258789,7.132693,0.0541,0.654753,38.67,0.28436240951557346,0.13570891704963306
CL,0.06899835996483496,0.18884140951665285,0.20001079248068418,74.29000091552734,21.225714,0.0257,0.505895,79.0,0.26901438453056353,0.13451337192077445
D,0.07039705322992858,0.21662359359334757,0.18081600709301332,60.25,14.623787,0.0396,0.485998,80.07,0.3761447007963507,0.13363787602742108
XRAY,0.03546505902106768,0.28047663003972473,0.015106495775522451,38.439998626708984,12.440129,0.0164,0.94252,41.3,0.062037829202821436,0.13108283236873497
BXP,0.0364268947223399,0.2731189766276477,0.01903512817854419,75.4800033569336,24.99338,0.0553,1.0,90.37,0.2024758611899471,0.1300225919579797
NEM,0.0978994594582279,0.3697345439240465,0.18032239767589636,49.849998474121094,12.716836,0.0515,0.269712,65.51,0.5164365026774488,0.12771259171753868
FE,0.072493653490399,0.256764214946957,0.16071403682434465,39.52000045776367,15.200001,0.0429,0.454679,41.6,0.3674666242717393,0.12701542798125964
